sample,d__Archaea.p__Euryarchaeota,d__Bacteria.p__Acidobacteriota,d__Bacteria.p__Actinobacteriota,d__Bacteria.p__Armatimonadota,d__Bacteria.p__Bacteroidota,d__Bacteria.p__Bdellovibrionota,d__Bacteria.p__Campilobacterota,d__Bacteria.p__Cyanobacteria,d__Bacteria.p__Deferribacterota,d__Bacteria.p__Deinococcota,d__Bacteria.p__Desulfobacterota,d__Bacteria.p__Elusimicrobiota,d__Bacteria.p__Firmicutes,d__Bacteria.p__Fusobacteriota,d__Bacteria.p__Gemmatimonadota,d__Bacteria.p__Myxococcota,d__Bacteria.p__Patescibacteria,d__Bacteria.p__Planctomycetota,d__Bacteria.p__Proteobacteria,d__Bacteria.p__Spirochaetota,d__Bacteria.p__Synergistota,d__Bacteria.p__Verrucomicrobiota,d__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae,d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriales.f__Acidobacteriaceae_.Subgroup_1.,d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Bryobacterales.f__Bryobacteraceae,d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Frankiales.f__Nakamurellaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Brevibacteriaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Cellulomonadaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae,d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae,d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae,d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae,d__Bacteria.p__Armatimonadota.c__Fimbriimonadia.o__Fimbriimonadales.f__Fimbriimonadaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Dysgonomonadaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Paludibacteraceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae
S1,0,0,0.014586061,0,0.14413935,0,0,0.002182453,0,0,0.002000582,0,0.357849556,0.002728066,0,0,0,0,0.187290848,7.27E-05,0,0.012621854,0,0,0,0,0,9.82E-04,0.00138222,0,0,0,0,0,0,0.001745962,0.002036956,0,0.00560163,9.09E-04,0,0.342972501,9.82E-04,0,0.004619526,0.020042194,0,0,0.017859741,0.011567001
S2,0,0,9.03E-04,0,0.186178442,0,0,0.004641568,0,0,0,0,0.373646209,0,0,0,0,0,0.153558535,0,0,0,0,0,0,0,0,0,9.03E-04,0,0,0,0,0,0,0,0,0,0,0,0,0.152011346,0.003739041,0,0,0,0,0,0.022563177,0.002449716
S3,0,0,0.005444646,0,0.046999092,0,0.008403811,0,0,0,0,0,0.128856624,0.005444646,0,0,0,0,0.247731397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005444646,0,0,0,0,0,0.066243194,0,0,0,0,0,0.025408348,0.045372051,0
S4,0,0,0.004554938,0,0.441035587,0,0,0.001366482,0,0,0.028167152,0,0.469379059,2.94E-05,0,0,0,0,0.018219754,0,0.001630962,0.035102413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003041523,2.06E-04,0,0.254709219,0.002909283,0,0.01157836,3.53E-04,0,8.52E-04,0.108098974,0.031267448
S5,0,0,0.00812431,0,0.23229216,0,0,9.86E-04,0,0,6.70E-04,0,0.566572015,0,0,0,0,0,0.177748856,0,0,0.001025398,0,0,0,0,0,0.002484619,0,0,0,0,0,0,0,0,0,0,0.005048115,5.92E-04,0,0.108495031,0.005836883,0,0.00690172,0.001025398,0,0,0.07824578,0.014079508
S6,0,0,4.08E-04,0,0.909552134,0,0,0,0,0,0,0,0.079776067,0,0,0,0,0,0.010263588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08E-04,0,0,0.082808491,0,0,0,4.08E-04,0,0,0.808140891,0.001924423
S7,4.75E-05,0,0.00135482,0,0.083556926,0,0,6.42E-04,0,0,0.040644609,0,0.65784845,5.23E-04,0,0,0,0,0.038814413,0,0,0.010529568,4.75E-05,0,0,0,0,2.85E-04,0,0,0,0,0,0,0,0,0,0,5.94E-04,0,0,0.129040692,0.006631489,0,0.003755467,0.001117133,0,0,0.007249477,0.06959498
S8,0,0,0.017241379,0,0.065438871,0,0,0,0,0,0,0,0.437695925,0,0,0,0,0,0.015673981,0,0,0,0,0,0,0,0,0,0.012147335,0,0,0,0,0,0,0,0.005094044,0,0,0,0,0.032131661,0.00822884,0,0,0.002351097,0,0,0.010579937,0.00822884
S9,0,0,0.004001601,0,0.184333333,0,0,0,0,0,0.002534347,0,0.402427638,0,0,0,0,0,0.023075897,0,0,0,0,0,0,0,0,8.00E-04,0,0,0,0,0,0,0,0.002267574,0,0,9.34E-04,0,0,0.067627051,0.002934507,0,0.001734027,0.001867414,0,0,0.39589169,0.003067894
S10,0,0,0.003936771,0,0.782252395,0,0,0,0,0,0.001355776,0,0.194538735,1.21E-04,0,0,0,0,0.012392793,2.01E-05,0,0,0,0,0,0,0,4.32E-04,7.03E-05,0,0,0,0,0,0,0,1.10E-04,0,0.003273947,0,0,0.048988692,0.001375861,0,9.04E-04,8.13E-04,0,0,0.68697652,0.003243819
S11,0,7.96E-04,0.007683653,0,0.035372081,0,0,0,0,0.006146922,0,0,0.124365413,0.007326912,0,0,8.23E-05,0,0.713344859,0,0,0,0,0,0,7.96E-04,0,4.94E-04,0.00101534,0,0,0,0,0,6.04E-04,0.001262314,0.00170138,0,0,0.002606954,0,0.043385198,8.23E-04,0,7.41E-04,0.007546445,0,0,0.003512527,0.005899948
S12,0,0,0.001778832,0,0.70560332,0,0,0,0,5.93E-04,0,0,0.154758375,0,0,0,0,0,0.024310703,0,0,0,0,0,0,0,0,0.001778832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633560629,0.010080047,0,0.018381263,0,0,0,0,0.029350726
S13,0,0,0,0,0.314423657,0,0,0,0,0,0,0,0.587205794,0,0,0,0,0,0.003621002,0,0,0.003319252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111345806,0,0,0.002414001,0,0,0,0.089318045,0.031080266
S14,0,0,0,0,0.368185948,0,0,0,0,0,0.026120533,0,0.569049061,0,0,0,0,0,0.013325257,0,0,0.001211387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285811629,0.006662629,0,0.006132647,0,0,0,0.008176863,0.03316172
S15,0,0,4.38E-04,0,0.201488182,0,0,0,0,0,0.01459002,0,0.686946795,6.81E-04,0,0,0,0,0.092354829,0,0,1.46E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38E-04,0,0,0,0,0.161316993,0.002674837,0,0.001167202,0.004182473,0,0,0.003452972,0.015611322
S16,0,0,8.11E-04,0,0.669085455,0,0,0,0,0,0.002918761,0,0.305821307,2.84E-04,0,0,0,0,0.017390952,0,0,6.89E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84E-04,0,5.27E-04,0,0,0.549416248,0,0,0.002432301,0.027687693,0,0,0.027241771,0.033079293
S17,0,0,0.013852963,0,0.406736794,0,0,0,0,0,0.002299247,0,0.405357246,0.004828419,0,0,0,0,0.16094729,0,0,4.60E-04,0,0,0,0,6.32E-04,9.20E-04,0,0,0,0,0,0,0,0,9.20E-04,0,0.009082026,0,0,0.365580272,0.001034661,0,7.47E-04,0.005115825,0,5.17E-04,0.020290855,8.05E-04
S18,1.69E-04,0,0.025641026,0,0.117584243,0,0,6.77E-04,0,0,0.003469578,0,0.540323263,0.009731742,0,0,0,0,0.071591775,0,0,9.31E-04,1.69E-04,0,0,0,7.62E-04,0.002115596,0.002030972,0,0,0,0,0,0,0.001607853,0.003469578,0,0.011678091,0.003554202,0,0.251163578,0.003808073,0,0.001438605,0.031395447,0,9.31E-04,0.015655412,0.010408733
S19,0,0,0.002951482,0,0.118120303,0,0,0,0,0,0.00543694,0,0.563456858,0.005160778,0,0,0,0,0.075720179,0,3.62E-04,8.63E-04,0,0,0,0,1.04E-04,0,0,0,0,0,0,0,0,0,0,0,0.002226556,6.90E-05,0,0.236360184,0.009596631,0,0.005160778,0.001259989,3.28E-04,0,0.001173689,0.020677633
S20,0,0,0.006180985,0,0.09495884,0,0,2.31E-04,1.39E-04,0,0.007940366,0,0.606454152,0.001041739,0,0,0,0,0.098201264,0,0,4.17E-04,0,0,0,0,1.16E-04,6.48E-04,3.47E-04,0,0,0,0,0,0,8.57E-04,0.001412135,0,0.001620483,0,0,0.112577262,0.003078918,0,0.002731671,0.015718684,0,0,0.096302984,0.007940366
S21,0,0,0.00872093,0,0.08957219,0,0,0.04748062,0,0,0,0,0.129360465,0,0,0,0,0,0.242248062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872093,0,0,0,0,0.261143411,0,0,0,0,0,0,0,0
S22,0,0,7.26E-04,0,0.653922957,0,0,0,0,0,0.001924264,0,0.328831282,7.26E-05,0,0,0,0,0.014522746,0,0,0,0,0,0,0,0,1.45E-04,0,0,0,0,0,0,0,0,0,0,5.81E-04,0,0,0.603093345,0.004502051,0,0.003957448,0,0,0,0.001887957,0.039465563
S23,0,0,0,0,0.159726088,0,0,0,0,0,0.001629044,0,0.483825925,0,0,0,0,0,0.0090761,0,0,0.008843379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336979288,0.019315802,0,0.001629044,0,0,0,0.049569467,0.025599255
S24,0,0,0.040613794,0,0.175604787,0,0,0,0,0,0.001918105,0,0.402718706,0.003669419,0,0,0,0,0.03744475,0,0,0.00141773,0,0,0,0,6.67E-04,0.013927112,0,0,0,0,0,0,0,0,0.001084146,0,0.023601034,0,0,0.119923276,0.001751313,0,0.001834709,0.017596531,0,0,0.342340088,0.017262947
S25,0,0,0.007795583,0,0.119681103,0,0,0,3.37E-04,0,7.22E-04,0,0.42394495,0.001010538,0,0,0,0,0.204080651,0,0,2.89E-04,0,0,0,0,3.37E-04,5.29E-04,5.29E-04,0,0,0,0,0,7.22E-04,0,0.001154901,0,0.004523363,0,0,0.21880564,0.003079736,0,0.001828593,0.008132429,0,0,0.098310957,0.009142967
S26,0,0,0.001465104,0,0.605354289,0,0,0,0,0,0.005327651,0,0.35335642,0,0,0,0,0,0.031433138,0,0,0.002530634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001465104,0,0,0.553010123,0.005061268,0,0.001198721,0.005594033,0,0,0.001598295,0.00426212
S27,0,0,0.001137656,0,0.1873595,0,0,0,0,0,0.0069072,0,0.41410694,0,0,0,0,0,0.028603933,0,0,0.003006663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001137656,0,0,0.492523972,0.006175849,0,0.003087925,0.00138144,0,0,0.005363237,0.00625711
S28,0,0,0.020256142,0,0.265682175,0,0,0,0,0,0,0,0.643230528,0.002352326,0,0,0,0,0.043779404,0,0,6.53E-04,0,0,0,0,0,0.006795609,9.15E-04,0,0,0,0,0,0,0.001437533,0,0,0.011108207,0,0,0.228306325,0.001829587,0,0,0.00627287,0,0,0.019210664,0.002483011
S29,0,0,0.002724964,0,0.153114758,0,0,0,0,0,0.005635722,0,0.491918003,0.006564687,0,0,0,0,0.039078467,0,0,0.006626618,0,0,0,0,0,4.95E-04,0,0,0,0,0,0,0,0,0,0,0.002229516,0,0,0.33826717,0.010775996,0,0.005264136,0,0,0,0.001300551,0.065770731
S30,0,0,0.002021182,0,0.08765648,0,0,4.04E-04,0,0,0.001131862,0,0.689788989,0,0,0,0,0,0.046891422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001051015,0,0,9.70E-04,0,0,0.23389118,0.003314738,0,0.00266796,7.28E-04,0,0,0.003395586,0.005093379
S31,0,0,2.96E-04,0,0.23368089,0,0,0,0,0,0.014783353,0,0.294448834,0,0,0,0,0,0.005235085,0,0,0.001284077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96E-04,0,0,0.061932043,0.005860661,0,0.00253523,0,0,0,0.540168576,0.006650863
S32,0,0,0.007158684,0,0.415033237,0,0,0,0,0,0,0,0.493437873,0,0,0,0,0,0.032214079,0,0,8.52E-04,0,0,0,0,0,0.003408897,0,0,0,0,0,0,0,0.002556673,0,0,0.001193114,0,0,0.373274246,0,0,0.002215783,0.005795125,0,0,0.014999148,0.009374467
S33,0,0,0,0,0.050733119,0,0,0,0,0,0,0,0.789389068,0,0,0,0,0,0.017684887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091639871,0,0,0,0,0,0,0.02733119,0.028938907
S34,0,0,0,0,0.131581611,0,0,0,0,0,5.79E-04,0,0.58141781,0,0,0,0,0,0.004829052,0,0,0.002511107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287618312,0.012748696,0,0.001545297,0,0,0,0.041916168,0.019509368
S35,0,0,0,0,0.005052558,0,0,0,0,0,0,0,0.007840177,0,0,0,0,0,0.987107265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005052558,0,0,0,0,0,0,0,0
S36,0,0,0.002518892,0,0.085012594,0,0,0,0,0,0,0,0.130352645,0,0,0,0,0,0.088161209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002518892,0,0,0,0,0,0.081234257,0,0,0,0.003778338,0,0,0,0
S37,0,0,8.84E-04,0,0.259139151,0,0,0,0,0,0,0,0.702771226,0,0,0,0,0,0.013679245,0,0,0,0,0,0,0,0,8.84E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172228774,0.012087264,0,0.00182783,0,0,0,0.005542453,0.042865566
