feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Bacteroidota	Gender	Male	-1.42195846988187	0.338530765327719	50	50	0.000114937880993258	0.00149419245291236
d__Bacteria.p__Actinobacteriota	Gender	Male	0.712862027762135	0.685835391955025	50	38	0.303823114508797	0.789940097722873
d__Bacteria.p__Desulfobacterota	Gender	Male	0.878827741681155	0.798427867954877	50	28	0.276517588195121	0.789940097722873
d__Bacteria.p__Firmicutes	Gender	Male	0.355512803505901	0.30983093743306	50	50	0.25688641048537	0.789940097722873
d__Bacteria.p__Verrucomicrobiota	Gender	Male	0.870764872252414	0.796459921682322	50	25	0.279721331725117	0.789940097722873
d__Bacteria.p__Proteobacteria	Gender	Male	0.425838665784139	0.572225455534052	50	50	0.460395422300421	0.794317135388983
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	Gender	Male	0.383918077469233	0.515884642040461	50	34	0.460387162008716	0.794317135388983
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	Gender	Male	0.314654381780055	0.451071172467088	50	36	0.488810544854759	0.794317135388983
d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	Gender	Male	0.223087109700554	0.634066699848884	50	23	0.726501658139692	0.800611819844286
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	Gender	Male	0.138183201883089	0.381006845758583	50	50	0.718436792497403	0.800611819844286
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	Gender	Male	0.216521595608636	0.716473399482233	50	25	0.763801689978315	0.800611819844286
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	Gender	Male	0.232469904393464	0.915382891187813	50	41	0.800611819844286	0.800611819844286
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	Gender	Male	0.185106369599019	0.708123486874861	50	42	0.794899316036371	0.800611819844286
