feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Bacteroidota	Gender	Male	-1.45653388903719	0.341158554802796	50	50	9.70601841581431e-05	0.00378534718216758
d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	BMI	BMI	0.17380715484912	0.0517651542470482	50	23	0.00158586904537159	0.030924446384746
d__Bacteria.p__Actinobacteriota	BMI	BMI	0.159800188606094	0.0573386951929596	50	38	0.00770680617249589	0.100188480242447
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	Age	Age	-0.0527179322119249	0.0250565170416031	50	25	0.040877815675754	0.398558702838602
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	BMI	BMI	0.116412349746437	0.0597647941878956	50	25	0.0575515465974071	0.448902063459775
d__Bacteria.p__Actinobacteriota	Age	Age	0.0289327250234053	0.0240393698793438	50	38	0.234918655858911	0.791690030109952
d__Bacteria.p__Bacteroidota	Age	Age	-0.0168457085492907	0.0126081642488175	50	50	0.188090552022894	0.791690030109952
d__Bacteria.p__Desulfobacterota	Gender	Male	0.960840958220284	0.806723928680109	50	28	0.239747289262219	0.791690030109952
d__Bacteria.p__Desulfobacterota	Age	Age	-0.0423651895828961	0.0298140194729386	50	28	0.162065768140685	0.791690030109952
d__Bacteria.p__Firmicutes	Gender	Male	0.361493066972694	0.316475563618713	50	50	0.259262457459638	0.791690030109952
d__Bacteria.p__Firmicutes	Age	Age	-0.0127030326072107	0.011695957292199	50	50	0.283091671746369	0.791690030109952
d__Bacteria.p__Verrucomicrobiota	Gender	Male	0.890256439358412	0.821585138257307	50	25	0.284196421065111	0.791690030109952
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	BMI	BMI	-0.0536829580940195	0.0402933378729817	50	36	0.189323426236148	0.791690030109952
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	BMI	BMI	-0.0831930188696339	0.0632603878522707	50	42	0.194998344137598	0.791690030109952
d__Bacteria.p__Proteobacteria	Age	Age	0.0192253404759653	0.0216210688525376	50	50	0.378525030206218	0.810683930540053
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	Gender	Male	0.45779760303985	0.526910010232647	50	34	0.389448354538279	0.810683930540053
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	BMI	BMI	-0.0398848140885114	0.0464469036436552	50	34	0.394948581545154	0.810683930540053
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	Gender	Male	0.409258199337699	0.457101795931245	50	36	0.375270552494509	0.810683930540053
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	BMI	BMI	0.0833660994907106	0.0825317445722131	50	41	0.317726801703092	0.810683930540053
d__Bacteria.p__Proteobacteria	Gender	Male	0.465439455925858	0.585034621809853	50	50	0.4303649097641	0.839211574039995
d__Bacteria.p__Bacteroidota	BMI	BMI	0.0213076168168797	0.0300729882036929	50	50	0.482191453696017	0.854793940642939
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	Age	Age	-0.0143203757436012	0.0194729631130003	50	34	0.465830383911699	0.854793940642939
d__Bacteria.p__Actinobacteriota	Gender	Male	0.42251225918445	0.65047032419299	50	38	0.519214167963728	0.880406632634148
d__Bacteria.p__Desulfobacterota	BMI	BMI	-0.0412211771639714	0.0711123870390921	50	28	0.56497069247247	0.893697717195411
d__Bacteria.p__Proteobacteria	BMI	BMI	-0.0243812275214507	0.0515705645740281	50	50	0.63860995592535	0.893697717195411
d__Bacteria.p__Verrucomicrobiota	Age	Age	-0.0157425507106486	0.030363243781248	50	25	0.606612836884286	0.893697717195411
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	Gender	Male	0.336228772439758	0.717648088369708	50	42	0.641629130294141	0.893697717195411
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	Age	Age	-0.0147259512890889	0.0265220521180993	50	42	0.581424697248607	0.893697717195411
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	Gender	Male	0.143492057988391	0.39348439855924	50	50	0.717028750141094	0.932137375183423
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	Age	Age	-0.00567012037837606	0.0145419654777521	50	50	0.698399518556676	0.932137375183423
d__Bacteria.p__Firmicutes	BMI	BMI	-0.00193152564068919	0.0278971925442822	50	50	0.945100861955854	0.990719332727087
d__Bacteria.p__Verrucomicrobiota	BMI	BMI	-0.0092098882504446	0.0724223966343844	50	25	0.899360875864726	0.990719332727087
d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	Gender	Male	-0.0864867691558268	0.58724211549746	50	23	0.883557666467582	0.990719332727087
d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	Age	Age	0.000253817845543726	0.0217026509867087	50	23	0.990719332727087	0.990719332727087
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	BMI	BMI	-0.00234436027746701	0.0346854901031263	50	50	0.946405683903889	0.990719332727087
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	Age	Age	0.00445218336000921	0.0168930675792726	50	36	0.793303032492675	0.990719332727087
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	Gender	Male	0.0196658182623757	0.677992844446539	50	25	0.976985335740406	0.990719332727087
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	Gender	Male	0.0846673029580534	0.936269136704949	50	41	0.928337731721504	0.990719332727087
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	Age	Age	-0.00327789768944917	0.0346016093997647	50	41	0.9249387502138	0.990719332727087
