feature	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae
S1	0.014586061	0.14413935	0.002000582	0.357849556	0.187290848	0.012621854	0.00560163	0.342972501	0.000982	0.004619526	0.020042194	0.017859741	0.011567001
S2	0.000903	0.186178442	0	0.373646209	0.153558535	0	0	0.152011346	0.003739041	0	0	0.022563177	0.002449716
S3	0.005444646	0.046999092	0	0.128856624	0.247731397	0	0	0.066243194	0	0	0	0.045372051	0
S4	0.004554938	0.441035587	0.028167152	0.469379059	0.018219754	0.035102413	0.003041523	0.254709219	0.002909283	0.01157836	0.000353	0.108098974	0.031267448
S5	0.00812431	0.23229216	0.00067	0.566572015	0.177748856	0.001025398	0.005048115	0.108495031	0.005836883	0.00690172	0.001025398	0.07824578	0.014079508
S6	0.000408	0.909552134	0	0.079776067	0.010263588	0	0.000408	0.082808491	0	0	0.000408	0.808140891	0.001924423
S7	0.00135482	0.083556926	0.040644609	0.65784845	0.038814413	0.010529568	0.000594	0.129040692	0.006631489	0.003755467	0.001117133	0.007249477	0.06959498
S8	0.017241379	0.065438871	0	0.437695925	0.015673981	0	0	0.032131661	0.00822884	0	0.002351097	0.010579937	0.00822884
S9	0.004001601	0.184333333	0.002534347	0.402427638	0.023075897	0	0.000934	0.067627051	0.002934507	0.001734027	0.001867414	0.39589169	0.003067894
S10	0.003936771	0.782252395	0.001355776	0.194538735	0.012392793	0	0.003273947	0.048988692	0.001375861	0.000904	0.000813	0.68697652	0.003243819
