feature	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae
COL001.1	-6.09926585710291	-2.79446385408688	-8.96536452147777	-1.48257490524807	-2.41664769112918	-6.30793234917286	-7.47993759128786	-1.54383518688966	-9.99183657258615	-7.75803945737828	-5.64081574213663	-5.80714503096872	-6.43384132734037
COL095	-10.1137422872356	-2.42524206506414	-13.3249338762445	-1.42025521004134	-2.70313939331946	-13.7427324962936	-12.7205271638968	-2.71774908564586	-8.06311599368201	-11.534302526109	-12.4695162505277	-5.46988596958036	-8.6731697799815
COL096	-7.52094603381851	-4.41122329264625	-13.3249338762445	-2.95616139264273	-2.01315137032531	-13.7427324962936	-12.7205271638968	-3.91608395388088	-11.2463835251684	-11.534302526109	-12.4695162505277	-4.46205231296794	-11.9483668737964
COL004.5	-7.77835286789081	-1.18103302387324	-5.1498424905699	-1.0911746163641	-5.77835270952477	-4.83228598250762	-8.36099037074956	-1.97307691711709	-8.42512064348749	-6.43242527042209	-11.4695162505277	-3.20957526480404	-4.9991947162102
COL005.7	-6.94353899493817	-2.10598763174361	-10.5425761794757	-0.819668751233133	-2.49208782026595	-9.92960029573359	-7.63003950824814	-3.20429912517445	-7.42058613489517	-7.17882833925804	-9.92960029573359	-3.67584324395624	-6.15025926903544
COL007.9	-11.2583973205702	-0.13677176178502	-13.3249338762445	-3.64790019018347	-6.60632102560303	-13.7427324962936	-11.2583973205702	-3.5940774836983	-11.2463835251684	-11.534302526109	-11.2583973205702	-0.307321261034552	-9.02135833746269
COL008.11	-9.52768309533928	-3.5810967676826	-4.62079218027249	-0.604172829491971	-4.68726372028764	-6.56940994211409	-10.716717643835	-2.95410201459261	-7.2364514427212	-8.05679196368899	-9.80598332890535	-7.10790736632387	-3.84487294390617
COL098	-5.85798102109608	-3.9337083317266	-13.3249338762445	-1.19199914250661	-5.99548453647839	-13.7427324962936	-12.7205271638968	-4.95986062899264	-6.92509521297003	-11.534302526109	-8.73245022268854	-6.56252515306553	-6.92509521297003
COL010.15	-7.96520696150106	-2.43961111511201	-8.62417021444312	-1.31319870466366	-5.43746946076394	-13.7427324962936	-10.0647424805394	-3.88625574597156	-8.41266613512473	-9.1716579221676	-9.06474248053936	-1.33682231022108	-8.34853564807815
COL012.17	-7.98877149057334	-0.354293924355862	-9.52666544717904	-2.36187065315368	-6.33435482125094	-13.7427324962936	-8.25475331760142	-4.35140741765397	-9.505449559346	-10.1116290120108	-10.2636321054558	-0.541667304517127	-8.26809096297605
